Brown,Douglas 75 225 Junior
Mills,Elaine 62 186 Junior
Ross,Marion 30 90 Junior
Stevens,Kelly 74 296 Junior
Robinson,Andrea 41 164 Masters
May,Barry 75 150 Masters
Johnston,Marshall 57 114 Freshman
Griffin,Don 49 196 Masters
Gordon,Melissa 37 74 Freshman
Welch,Franklin 52 208 Masters
Watts,Lillian 27 81 Junior
Meyer,Eddie 50 100 Masters
Rodriquez,Laura 32 64 Sophomore
Kennedy,Arron 78 156 Masters
Castillo,Ruben 45 180 Junior
Miller,Kim 48 144 Sophomore
Gilbert,Jimmie 73 146 Junior
Gibson,Maria 66 264 Sophomore
Thomas,Jeff 67 134 Junior
Meyer,Ritthy 34 102 Masters
Hughes,Jeff 65 195 Masters
Kuhn,Kristin 36 144 Masters
Lawson,Tracy 71 284 Masters
Jennings,Antonio 63 189 Masters
Cruz,Louis 21 84 Junior
Miller,Lauren 27 108 Masters
Shaw,Jim 50 100 Masters
Spencer,Brett 33 99 Senior
Wagner,Jared 60 240 Masters
Reid,Owen 66 264 Freshman
Ferguson,Avery 45 180 Masters
Caldwell,Madison 71 284 Sophomore
Johnston,Colin 32 64 Senior
Hunt,Mitchell 68 204 Masters
Phillips,Derrick 42 84 Junior
Matthews,Victoria 23 92 Sophomore
Rivera,Joseph 69 207 Masters
Wells,Gary 70 280 Sophomore
Rice,Ethel 70 210 Masters
Meyer,Marian 41 82 Senior
Fowler,Gordon 79 316 Masters
Powell,Gary 75 225 Freshman
Clark,Vicki 57 114 Masters
Bailey,Howard 45 135 Freshman
James,Todd 27 108 Masters
Bates,Serenity 28 112 Junior
Fields,Francis 44 88 Masters
Edwards,Seth 47 188 Masters
Sutton,Hanna 39 117 Sophomore
Rhodes,Ethan 63 189 Sophomore
Bell,Chester 65 195 Masters
Lawson,Randy 70 140 Freshman
Mason,Jackie 78 234 Junior
Fields,Debbie 57 171 Masters
Frazier,Ellie 78 312 Senior
Hopkins,Vera 52 156 Senior
Jimenez,Jeanette 52 156 Masters
Grant,Eugene 67 268 Junior
Boyd,Sharlene 37 74 Masters
Soto,Lola 52 104 Masters
Douglas,Andrea 56 112 Masters
Stone,Sam 78 312 Masters
King,Scott 70 280 Junior
Myers,Jeremy 39 156 Freshman
Hughes,Kimberly 34 136 Masters
Gibson,Erika 47 188 Masters
Cooper,Dustin 61 122 Masters
Hunt,Lucy 32 64 Senior
Soto,Mathew 28 56 Senior
Walters,Jamie 47 188 Junior
Curtis,Brayden 42 84 Senior
Kelley,Dennis 21 42 Masters
Fernandez,Gary 80 320 Masters
Holmes,Bella 51 102 Masters
Morales,Beverly 49 98 Junior
Rodriguez,Sofia 57 228 Junior
Gray,Gilbert 80 240 Senior
Stevens,Jimmie 24 72 Sophomore
Cox,Carmen 72 216 Masters
Hawkins,Peggy 46 184 Junior
Shelton,Addison 56 224 Freshman
Caldwell,Isaac 29 58 Masters
Watson,Armando 49 147 Junior
Romero,Sophia 39 156 Senior
Fowler,Connor 33 66 Sophomore
Duncan,Travis 37 148 Freshman
Cook,Crystal 37 148 Junior
Mitchell,Christine 65 195 Masters
Douglas,Nora 32 64 Masters
Elliott,Alma 41 123 Masters
Lawrence,Susie 22 88 Masters
Olson,Eugene 76 304 Masters
Jensen,Connie 56 224 Masters
Rogers,Ted 63 252 Junior
Wheeler,Kathy 49 196 Senior
Thomas,Peyton 55 220 Masters
Caldwell,Willie 42 84 Masters
Hopkins,Zachary 51 204 Masters
Murray,Hailey 48 144 Masters
Romero,Carolyn 26 104 Masters
